molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL296156,C=C1C[C@H](CO)CC(C)(C)[C@@H]1Cc1cc(OC)c(Br)cc1O,active,285.387,4.994320000000005,0.0,2.0,5.481486060122113
CHEMBL296156,C=C1C[C@H](CO)CC(C)(C)[C@@H]1Cc1cc(OC)c(Br)cc1O,intermediate,271.35999999999996,4.685900000000005,0.0,2.0,5.698970004336019
CHEMBL2113712,C=C1C=C(C)CC(C)(C)C1(O)Cc1ccc([N+](=O)[O-])cc1,active,271.35999999999996,4.685900000000005,0.0,2.0,6.585026652029182
CHEMBL2113712,C=C1C=C(C)CC(C)(C)C1(O)Cc1ccc([N+](=O)[O-])cc1,intermediate,289.40000000000003,4.987900000000004,0.0,3.0,7.026872146400302
CHEMBL50454,C=C1C[C@H](C)C[C@@H](C)[C@@H]1Cc1cc(OC)c(Br)cc1O,active,289.40000000000003,4.987900000000004,0.0,3.0,6.006563769502388
CHEMBL50454,C=C1C[C@H](C)C[C@@H](C)[C@@H]1Cc1cc(OC)c(Br)cc1O,intermediate,303.3580000000001,3.672900000000003,0.0,4.0,6.455931955649724
CHEMBL51093,C=C1CC[C@@H](Br)C(C)(C)[C@H]1Cc1cc(OC)c(Br)cc1O,active,337.257,4.8643000000000045,1.0,2.0,6.260427655549908
CHEMBL51093,C=C1CC[C@@H](Br)C(C)(C)[C@H]1Cc1cc(OC)c(Br)cc1O,active,337.257,4.8643000000000045,1.0,2.0,6.450996737974212
CHEMBL48858,C=C1CCCC(C)(C)C1Cc1cc(OC)c(Br)cc1O,inactive,353.3,5.334300000000005,1.0,2.0,6.392544976785332
CHEMBL48858,C=C1CCCC(C)(C)C1Cc1cc(OC)c(Br)cc1O,intermediate,325.246,4.698200000000004,1.0,2.0,6.787812395596042
CHEMBL50786,C=C1C=C(C)CC(C)(C)C1Cc1ccc2nonc2c1,active,325.246,4.698200000000004,1.0,2.0,5.709965388637482
CHEMBL50786,C=C1C=C(C)CC(C)(C)C1Cc1ccc2nonc2c1,active,429.6040000000001,5.406500000000006,1.0,3.0,6.110698297493689
CHEMBL54270,C=C1C=C(C)CC(C)(C)C1Cc1cc(OC)c(Br)cc1OC(C)=O,active,429.6040000000001,5.406500000000006,1.0,3.0,6.1487416512809245
CHEMBL54270,C=C1C=C(C)CC(C)(C)C1Cc1cc(OC)c(Br)cc1OC(C)=O,active,339.273,5.088300000000005,1.0,2.0,6.113509274827518
